X	Y	Z
-55.70862	1.189835	0.0
-55.13626	1.561837	0.0
-54.371402	2.055184	0.0
-53.797878	2.425368	0.0
-53.224195	2.795311	0.0
-52.650458	3.165187	0.0
-52.076643	3.534921	0.0
-51.502774	3.904533	0.0
-50.9288	4.274022	0.0
-50.354746	4.643392	0.0
-49.780613	5.012646	0.0
-49.206401	5.381779	0.0
-48.632109	5.750791	0.0
-48.05779	6.119712	0.0
-47.483366	6.488511	0.0
-46.908889	6.857188	0.0
-46.334332	7.225794	0.0
-45.759696	7.594235	0.0
-45.185033	7.962645	0.0
-44.610239	8.330891	0.0
-44.035444	8.699075	0.0
-43.460543	9.067132	0.0
-42.885589	9.435111	0.0
-42.310609	9.803015	0.0
-41.735523	10.170768	0.0
-41.160437	10.538491	0.0
-40.585245	10.906085	0.0
-40.010027	11.273618	0.0
-39.434703	11.64104	0.0
-38.859379	12.008403	0.0
-38.283949	12.375646	0.0
-37.708519	12.742857	0.0
-37.133036	13.109955	0.0
-36.557473	13.476989	0.0
-35.981884	13.843957	0.0
-35.406242	14.210813	0.0
-34.830574	14.577653	0.0
-34.254827	14.94438	0.0
-33.679052	15.311057	0.0
-33.103225	15.677651	0.0
-32.527372	16.044219	0.0
-31.951465	16.410688	0.0
-31.375532	16.777106	0.0
-30.799546	17.143453	0.0
-30.223534	17.509785	0.0
-29.647469	17.876005	0.0
-29.071403	18.242213	0.0
-28.495285	18.608355	0.0
-27.919141	18.974446	0.0
-27.342969	19.340476	0.0
-26.766772	19.706488	0.0
-26.190548	20.07244	0.0
-25.614271	20.438335	0.0
-25.037994	20.804221	0.0
-24.46169	21.170045	0.0
-23.885334	21.535825	0.0
-23.308977	21.901594	0.0
-22.732594	22.267304	0.0
-22.156185	22.633005	0.0
-21.579776	22.998653	0.0
-21.00334	23.364278	0.0
-20.426904	23.729899	0.0
-19.850415	24.095472	0.0
-19.273926	24.461009	0.0
-18.697438	24.826562	0.0
-18.120922	25.192079	0.0
-17.544381	25.557549	0.0
-16.967865	25.923051	0.0
-16.391297	26.288506	0.0
-15.814756	26.653961	0.0
-15.238214	27.019406	0.0
-14.661646	27.384843	0.0
-14.085078	27.750288	0.0
-13.508509	28.11569	0.0
-12.931941	28.48113	0.0
-12.355373	28.846572	0.0
-11.778805	29.21198	0.0
-11.202237	29.577427	0.0
-10.625695	29.942872	0.0
-10.049127	30.308325	0.0
-9.472585	30.673777	0.0
-8.89607	31.039267	0.0
-8.319555	31.404762	0.0
-7.743039	31.770273	0.0
-7.166524	32.135805	0.0
-6.590009	32.50134	0.0
-6.013547	32.866915	0.0
-5.437058	33.232487	0.0
-4.860622	33.598111	0.0
-4.28416	33.963715	0.0
-3.70775	34.329356	0.0
-3.131341	34.695033	0.0
-2.554932	35.060722	0.0
-1.978549	35.426423	0.0
-1.402192	35.792191	0.0
-0.825862	36.157977	0.0
-0.249532	36.523822	0.0
0.326692	36.889769	0.0
0.902916	37.255728	0.0
1.479113	37.621744	0.0
2.055338	37.98771	0.0
