 GE_E3_Fan_rotor
 Blade sections Data:
 ---------------------

section  span            betaZ*le(deg)    betaZ*te(deg)    betaM*le(deg)    betaM*te(deg)      chord [mm]  sweep       lean        area[mm^2]  lethk [mm]  tethk [mm] throat [mm]  (r*delta_theta)LE  Geom Zweifel  le/te/btween/none
   1     0.00000000        3.50000000     -12.63000000       2.95612954     -10.60193173      ***********  0.00000000  0.00000000  3.13146417  0.11353414  0.11353414 ***********  0.39269908        -0.18165780    te   
   2     0.92574062      -12.39356021      66.64859434     -12.38221640      66.64854903      ***********  0.00000000  0.00000000  0.07002497  0.03529007  0.03529007 ***********  0.39269908         1.56623553    le   
   3     0.85584075       -9.37932530      69.85572186      -9.35156439      69.81010867      ***********  0.00000000  0.00000000  0.09088459  0.03733046  0.03733046 ***********  0.39269908         1.32043151    btwee
   4     0.78346195       -6.47261751      69.76397167      -6.43769320      69.62251663      ***********  0.00000000  0.00000000  0.11800731  0.04016883  0.04016883 ***********  0.39269908         1.23524197    btwee
   5     0.70684592       -3.21621264      71.99259263      -3.18730630      71.74300008      ***********  0.00000000  0.00000000  0.14881788  0.04585611  0.04585611 ***********  0.39269908         1.05460012    te   
   6     0.62515675       -0.25821786      73.19829303      -0.25452379      72.80564928      ***********  0.00000000  0.00000000  0.27063843  0.05828507  0.05828507 ***********  0.39269908         0.93090840    te   
   7     0.57305612        1.52664232      72.67770314       1.49814353      72.14707619      ***********  0.00000000  0.00000000  0.39964868  0.06662353  0.06662353 ***********  0.39269908         0.91794175    te   
   8     0.55280678        3.37238313      73.44406183       3.30360327      72.88042847      ***********  0.00000000  0.00000000  0.46881784  0.07051558  0.07051558 ***********  0.39269908         0.87262286    te   
   9     0.51807302        5.22030331      74.21293092       5.10180089      73.57411346      ***********  0.00000000  0.00000000  0.58666734  0.07588137  0.07588137 ***********  0.39269908         0.81027216    te   
  10     0.48932039        6.48993861      74.37403539       6.32681279      73.66309644      ***********  0.00000000  0.00000000  0.67357167  0.07884850  0.07884850 ***********  0.39269908         0.78335878    te   
  11     0.43935279        8.28201253      73.91045020       8.03531913      73.05281613      ***********  0.00000000  0.00000000  0.81483694  0.08231759  0.08231759 ***********  0.39269908         0.77058653    te   
  12     0.38632977        9.69712505      72.41988461       9.35785908      71.33303414      ***********  0.00000000  0.00000000  0.98059968  0.08556151  0.08556151 ***********  0.39269908         0.79365044    te   
  13     0.35649622       11.38840882      73.12037204      10.95649381      71.97019341      ***********  0.00000000  0.00000000  1.14298563  0.08963176  0.08963176 ***********  0.39269908         0.74580815    te   
  14     0.30513062       13.92765728      74.02319160      13.32381971      72.73879278      ***********  0.00000000  0.00000000  1.48593241  0.09723611  0.09723611 ***********  0.39269908         0.67621975    te   
  15     0.23687375       16.53125103      73.73221817      15.68184768      72.16641651      ***********  0.00000000  0.00000000  2.04870992  0.10746524  0.10746524 ***********  0.39269908         0.64219753    te   
  16     0.19615888       18.84380246      74.57655953      17.77861768      72.84988360      ***********  0.00000000  0.00000000  2.58635352  0.11676389  0.11676389 98.24883229  0.39269908         0.58844581    te   
  17     0.11396527       21.85095980      73.24312173      20.32514749      71.19818519      ***********  0.00000000  0.00000000  3.81128224  0.13330912  0.13330912 81.69988745  0.39269908         0.57842571    te   
  18     1.00000000        5.00000000     113.12000000       4.95197050     -66.84249002      ***********  0.00000000  0.00000000  0.06091521  0.03551715  0.03551715 ***********  0.39269908        -1.81985686    le   
 Total Volume of the blade =   1045.9593635805822      [m^3]
