       xLE            rLE            xTE            rTE
     -1.27         36.068        17.789        47.884
     -1.366        43.785        17.884        52.947
     -1.429        49.488        17.981        56.958
     -1.431        52.313        17.892        59.044
     -1.431        52.313        17.892        59.044
     -1.422        57.049        17.850        62.754
     -1.441        60.613        17.800        65.725
     -1.441        60.613        17.800        65.725
     -1.449        62.683        17.782        67.491
     -1.420        66.362        17.783        70.588
     -1.364        69.829        17.793        73.453
     -1.306        71.824        17.767        75.088
     -1.237        74.234        17.706        77.057
     -1.237        74.234        17.699        77.273
     -1.213        75.639        17.657        78.412
     -1.173        79.254        17.546        81.34
     -0.988        84.922        17.350        85.915
     -0.707        90.238        17.062        90.211
     -0.347        95.260        16.674        94.355
      0.050       100.110        16.305        98.424
      0.467       105.167        15.981       102.995
