 J        in_Beta        out_Beta          mrel_in           chord           t/c_max         Incidence       Deviation      Sec. Flow Angle
 1         63.27          55.32           0.55767388       0.91156336       0.09610000         5.00            2.48       0.00000000
 2         61.00          52.81           0.63056990       0.80210851       0.09254500         4.66            2.96       0.00000000
 3         58.56          49.69           0.68055586       0.71780483       0.08899000         4.95            3.22       0.00000000
 4         56.63          46.71           0.71309770       0.64915065       0.08543500         5.50            3.43       0.00000000
 5         54.86          43.56           0.74474354       0.59121561       0.08188000         5.66            3.93       0.00000000
 6         53.09          40.20           0.77881473       0.54238899       0.07832500         5.70            4.56       0.00000000
 7         51.89          38.13           0.80941152       0.49999627       0.07477000         5.73            4.90       0.00000000
 8         51.41          37.30           0.84408817       0.46296517       0.07121500         5.68            5.05       0.00000000
 9         51.41          37.16           0.87842649       0.43037891       0.06766000         5.65            5.05       0.00000000
10         50.55          35.72           0.91422521       0.40124770       0.06410500         5.65            5.26       0.00000000
11         49.83          34.45           0.94943194       0.37491793       0.06055000         5.55            5.45       0.00000000
12         48.66          32.40           0.98438110       0.35090502       0.05699500         5.00            5.90       0.00000000
13         47.22          30.91           1.01709071       0.32895622       0.05344000         4.76            6.27       0.00000000
14         46.63          29.62           1.05188680       0.30886398       0.04988500         4.68            6.46       0.00000000
15         46.53          29.62           1.08824451       0.29041456       0.04633000         4.68            6.46       0.00000000
16         45.50          25.61           1.11912595       0.27330260       0.04277500         4.65            6.86       0.00000000
17         44.38          20.62           1.14554396       0.25728961       0.03922000         4.72            7.48       0.00000000
18         44.38          20.62           1.16658693       0.24217502       0.03566500         4.72            7.48       0.00000000
19         43.79          17.92           1.18478156       0.22791879       0.03211000         4.80            7.99       0.00000000
20         43.20          11.90           1.19602473       0.21414494       0.02855500         5.25            9.58       0.00000000
21         42.12          01.45           1.19958442       0.20025733       0.02500000         3.50           12.63       0.00000000
