 J        in_Beta        out_Beta          mrel_in           chord           t/c_max         Incidence       Deviation      Sec. Flow Angle
 1         42.12         01.45         1.19958442         0.20025733         0.025000         3.50         12.63         0.00000000
 2         43.20         11.90         1.19602473         0.21414494         0.028555         5.25          9.58         0.00000000
 3         43.79         17.92         1.18478156         0.22791879         0.032110         4.80          7.99         0.00000000
 4         44.38         20.62         1.16658693         0.24217502         0.035665         4.72          7.48         0.00000000
 5         44.38         20.62         1.14554396         0.25728961         0.039220         4.72          7.48         0.00000000
 6         45.50         25.61         1.11912595         0.27330260         0.042775         4.65          6.86         0.00000000
 7         46.53         29.62         1.08824451         0.29041456         0.046330         4.68          6.46         0.00000000
 8         46.63         29.62         1.05188680         0.30886398         0.049885         4.68          6.46         0.00000000
 9         47.22         30.91         1.01709071         0.32895622         0.053440         4.76          6.27         0.00000000
10         48.66         32.40         0.98438110         0.35090502         0.056995         5.00          5.90         0.00000000
11         49.83         34.45         0.94943194         0.37491793         0.060550         5.55          5.45         0.00000000
12         50.55         35.72         0.91422521         0.40124770         0.064105         5.65          5.26         0.00000000
13         51.41         37.16         0.87842649         0.43037891         0.067660         5.65          5.05         0.00000000
14         51.41         37.30         0.84408817         0.46296517         0.071215         5.68          5.05         0.00000000
15         51.89         38.13         0.80941152         0.49999627         0.074770         5.73          4.90         0.00000000
16         53.09         40.20         0.77881473         0.54238899         0.078325         5.70          4.56         0.00000000
17         54.86         43.56         0.74474354         0.59121561         0.081880         5.66          3.93         0.00000000
18         56.63         46.71         0.71309770         0.64915065         0.085435         5.50          3.43         0.00000000
19         58.56         49.69         0.68055586         0.71780483         0.088990         4.95          3.22         0.00000000
20         61.00         52.81         0.63056990         0.80210851         0.092545         4.66          2.96         0.00000000
21         63.27         55.32         0.55767388         0.91156336         0.096100         5.00          2.48         0.00000000
