 GE_E3_Fan_rotor
 Blade row:            1
 Non-dimensional quantities: 
 section    m'sLE           m'sTE           m'blade_LE          m'blade_TE chord           pitch      
 1   0.2037298295722004  0.3541952756536580 -0.0868937951120418  0.0710949232734887  0.1504654460814576  0.3926990816987241
 2   0.2109102817291268  0.3760929150294369 -0.0947296374086325  0.0775060669706993  0.1651826333003100  0.3926990816987241
 3   0.2190738908063309  0.4000535238609338 -0.1031016239343828  0.0843558741281314  0.1809796330546029  0.3926990816987241
 4   0.2296479035339606  0.4283959944929227 -0.1124656603024374  0.0920173584292670  0.1987480909589621  0.3926990816987241
 5   0.2441902614524482  0.4614184627837405 -0.1220925201065894  0.0998938800872095  0.2172282013312923  0.3926990816987241
 6   0.2643495930953862  0.5016327282399109 -0.1324904642040717  0.1084012888942405  0.2372831351445247  0.3926990816987241
 7   0.2804475413226544  0.5311612086352310 -0.1394803076995863  0.1141202517542070  0.2507136673125766  0.3926990816987241
 8   0.2871620171061808  0.5435890424153571 -0.1424770642256569  0.1165721434573556  0.2564270253091763  0.3926990816987241
 9   0.2991243311355590  0.5672225012128891 -0.1486659708391240  0.1216357943229196  0.2680981700773301  0.3926990816987241
10   0.3098582974258973  0.5871050241600312 -0.1535164405925238  0.1256043604847922  0.2772467267341339  0.3926990816987241
11   0.3312246726999016  0.6244908303956835 -0.1620476685695441  0.1325844561023542  0.2932661576957819  0.3926990816987241
12   0.3577820881347564  0.6700789721872445 -0.1722780601977424  0.1409547765254255  0.3122968840524881  0.3926990816987241
13   0.3749499684140408  0.6990255718634738 -0.1786495872784066  0.1461678441368781  0.3240756034494330  0.3926990816987241
14   0.4083755646494182  0.7544899392753056 -0.1906251342858546  0.1559660189611538  0.3461143746258874  0.3926990816987241
15   0.4614089650268921  0.8399654255160476 -0.2083342888496280  0.1704553272406047  0.3785564604891555  0.3926990816987241
16   0.4995414330108869  0.9005060289769249 -0.2206058116968553  0.1804956641156088  0.4009645959660380  0.3926990816987241
17   0.5979635568878402  1.0471073500359784 -0.2470447469662364  0.2021275202451024  0.4491437931481382  0.3926990816987241
18   0.8024744217312980  1.3453942411041793 -0.2986059006550847  0.2443139187177966  0.5429198193728813  0.3926990816987241
