 GE_E3_Fan_rotor
 Blade row:            1
 Non-dimensional quantities: 
 section    m'sLE           m'sTE           m'blade_LE          m'blade_TE chord           pitch      
 1   6.3030227895653903  6.8422325719331347 -0.3113936493173723  0.2547766221687592  0.5392097823677444  0.3926990816987241
 2   0.2109102817291268  0.3760929150294369 -0.0908521308259963  0.0743335615849061  0.1651826333003100  0.3926990816987241
 3   0.2190738908063309  0.4000535238609338 -0.0995524749964034  0.0814520249970574  0.1809796330546029  0.3926990816987241
 4   0.2296479035339606  0.4283959944929227 -0.1093636281688187  0.0894793321381244  0.1987480909589621  0.3926990816987241
 5   0.2441902614524482  0.4614184627837405 -0.1196226642122726  0.0978730889009503  0.2172282013312923  0.3926990816987241
 6   0.2643495930953862  0.5016327282399109 -0.1308627956811221  0.1070695601027363  0.2372831351445247  0.3926990816987241
 7   0.2804475413226544  0.5311612086352310 -0.1384789223593373  0.1133009364758214  0.2507136673125766  0.3926990816987241
 8   0.2871620171061808  0.5435890424153571 -0.1417381163000051  0.1159675497000041  0.2564270253091763  0.3926990816987241
 9   0.2991243311355590  0.5672225012128891 -0.1484049103311102  0.1214221993618174  0.2680981700773301  0.3926990816987241
10   0.3098582974258973  0.5871050241600312 -0.1536842360462072  0.1257416476741695  0.2772467267341339  0.3926990816987241
11   0.3312246726999016  0.6244908303956835 -0.1630290604373262  0.1333874130850851  0.2932661576957819  0.3926990816987241
12   0.3577820881347564  0.6700789721872445 -0.1742307063337753  0.1425523960912707  0.3122968840524881  0.3926990816987241
13   0.3749499684140408  0.6990255718634738 -0.1812066402116666  0.1482599783550000  0.3240756034494330  0.3926990816987241
14   0.4083755646494182  0.7544899392753056 -0.1943334487539163  0.1590000944350224  0.3461143746258874  0.3926990816987241
15   0.4614089650268921  0.8399654255160476 -0.2138122271193121  0.1749372767339826  0.3785564604891555  0.3926990816987241
16   0.4995414330108869  0.9005060289769249 -0.2273064580845656  0.1859780111600991  0.4009645959660380  0.3926990816987241
17   0.5979635568878402  1.0471073500359784 -0.2565813557235376  0.2099302001374398  0.4491437931481382  0.3926990816987241
18   0.2092417585599453  0.3595038301898991 -0.0826441393964746  0.0676179322334792  0.1502620716299538  0.3926990816987241
